TIMESTAMP,TEMP,HUMIDITY,TOTAL_CLOUD_COVER,L1_CLOUD_HEIGHT,L1_CLOUD_COVER,L2_CLOUD_HEIGHT,L2_CLOUD_COVER,L3_CLOUD_HEIGHT,L3_CLOUD_COVER,L4_CLOUD_HEIGHT,L4_CLOUD_COVER,DEW_POINT,MAX_WIND_SPEED,PRECIPITATION,PRECIPITATION_TYPE,PRESSURE_SEA_LEVEL,PRESSURE_STATION,VISIBILITY,WEATHER_TYPE,AVG_WIND_SPEED,AVG_WIND_DIRECTION,DIFFUSE_RADIATION,GLOBAL_RADIATION,SUNSHINE_DURATION,ZENITH,ELEVATION,AZIMUTH,WR01,WR02,Faulty_Strict,Faulty_Moderate
2021-06-30 23:00:00+00:00,13.4,88,7,500,7,,,,,,,11.5,4.7,0.0,0,1015.9,983.6,34730,-1,2.8,250,0.0,0.0,0.0,106.7,-16.7,351.11,0.0,0.0,False,False
2021-07-01 00:00:00+00:00,13.3,90,7,380,7,1270,7,,,,,11.7,5.7,0.0,,1015.9,983.6,33580,100,3.2,230,0.0,0.0,0.0,106.99,-16.99,5.52,0.0,0.0,True,True
2021-07-01 01:00:00+00:00,13.2,90,8,280,1,990,4,1610,8,,,11.7,5.4,0.0,0,1015.7,983.4,33850,-1,3.2,240,0.0,0.0,0.0,104.88,-14.88,19.69,0.0,0.0,True,True
2021-07-01 02:00:00+00:00,13.0,88,8,320,3,580,7,1010,8,,,11.1,4.9,0.0,0,1015.9,983.6,35420,-1,2.6,250,0.0,0.0,0.0,100.57,-10.57,33.12,0.0,0.0,True,True
2021-07-01 03:00:00+00:00,12.9,90,8,310,2,490,5,950,8,,,11.3,5.0,0.0,,1015.9,983.6,38610,-1,2.7,250,0.0,0.0,0.0,94.42,-4.42,45.58,0.0,0.0,True,True
2021-07-01 04:00:00+00:00,12.8,89,8,280,2,730,7,920,8,,,11.0,5.6,0.0,0,1016.1,983.7,45380,-1,2.9,250,0.3,0.3,0.0,86.65,3.35,57.12,0.0,0.0,True,True
2021-07-01 05:00:00+00:00,12.5,92,8,310,2,950,7,1300,8,,,11.3,5.0,0.0,6,1016.2,983.8,38840,123,2.8,250,2.7,3.0,0.0,78.19,11.81,68.01,0.0,0.0,True,True
2021-07-01 06:00:00+00:00,12.2,96,8,120,5,910,7,1630,8,,,11.6,5.0,0.3,,1016.4,984.0,11850,161,3.0,240,10.1,11.3,0.0,68.95,21.05,78.66,0.0,0.0,True,True
2021-07-01 07:00:00+00:00,12.9,92,8,120,1,390,6,530,8,,,11.6,4.9,0.0,6,1016.6,984.2,48590,123,2.6,250,25.5,28.3,0.0,59.34,30.66,89.66,0.0,0.0,True,True
2021-07-01 08:00:00+00:00,13.5,84,8,300,3,550,7,1090,8,,,10.8,6.1,0.0,6,1016.8,984.5,54470,123,2.6,260,57.2,64.4,0.0,49.72,40.28,101.82,0.0,0.0,True,True
